SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
21,PUNJAB,1489,2520,157,681,0,681,816,566,250,101,468,292,1980,4306,1561,2745,3,266,3661,152,149,10321,323,355,50,1871,0,2836,13465,46262
22,RAJASTHAN,2297,4156,102,1388,0,1388,1828,1138,690,212,273,1224,3476,8399,3174,5225,5592,272,4359,77,684,39019,553,2692,24,9326,0,6749,97295,189997
23,SIKKIM,17,11,4,19,0,19,7,7,0,4,0,7,100,58,12,46,155,7,11,4,4,129,0,36,0,12,0,55,253,893
24,TAMIL NADU,3602,5728,20,776,0,776,1779,1312,467,447,87,1581,3749,14608,3679,10929,12956,173,2488,131,538,34011,430,1916,568,2697,0,11544,108848,208677
25,TRIPURA,206,75,4,336,0,336,176,125,51,26,0,85,209,389,30,359,451,61,147,29,67,2072,60,434,10,1760,0,225,2162,8984
26,UTTAR PRADESH,12365,10499,3551,2918,0,2918,12393,10487,1906,1649,292,4655,4178,16084,4522,11562,26919,6252,17605,786,424,23735,9203,4026,3878,31807,0,11637,80430,285286
27,UTTARAKHAND,388,324,67,138,0,138,213,191,22,104,36,259,318,1132,332,800,1541,118,556,43,16,1156,218,178,419,890,0,572,3143,11829
28,WEST BENGAL,3498,1590,645,1748,0,1748,2291,28136,333,674,2509,830,466,12298,1909,10389,14870,804,2618,200,346,10877,1002,1640,120,13884,7,2456,38240,113613
,TOTAL (STATES),61502,63281,6316,25207,7,25200,41036,1958,10942,17273,10706,32077,66879,185445,50233,135212,301169,19355,66056,2946,11416,488098,23129,47007,14200,173647,49,81229,1063472,2801495
29,A&N ISLANDS,38,5,7,36,0,36,16,5,11,0,0,17,76,121,10,111,86,5,6,0,7,114,0,40,8,35,0,1,417,1035
30,CHANDIGARH,51,63,15,38,0,38,32,29,3,16,10,45,85,484,157,327,272,21,148,6,3,101,3,39,6,28,0,8,880,2354
31,D&N HAVELI,7,12,4,5,0,5,16,12,4,20,0,2,50,60,2,58,281,16,15,0,2,36,0,2,0,0,0,13,153,694
32,DAMAN & DIU,11,12,6,1,0,1,4,0,4,4,0,5,45,22,6,16,183,4,5,0,3,12,0,5,1,4,0,28,97,452
33,DELHI,889,716,103,557,0,557,625,375,250,172,328,1093,1241,7918,3394,4524,406,188,1554,54,15,3106,242,710,132,658,0,708,14848,36263
34,LAKSHADWEEP,0,9,0,0,0,0,0,0,0,1,0,0,2,4,0,4,87,0,0,0,35,73,0,0,0,2,0,0,17,230
35,PUDUCHERRY,167,87,28,1,0,1,24,11,13,20,21,20,77,294,106,188,1118,6,52,1,5,1825,0,53,21,21,0,243,2418,6502
,TOTAL (UTS),1163,904,163,638,0,638,717,432,285,233,359,1182,1576,8903,3675,5228,2433,240,1780,61,70,5267,245,849,168,748,0,1001,18830,47530
,TOTAL (ALL-INDIA),62665,64185,6479,25845,7,25838,41753,2390,11227,17506,11065,33259,68455,194348,53908,140440,303602,19595,67836,3007,11486,493365,23374,47856,14368,174395,49,82230,1082302,2849025
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MURDER (SECTION 302 IPC) DURING 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ATTEMPT TO COMMIT MURDER (SECTION 307 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C3 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RAPE (SECTION 376 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CUSTODIAL RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C7 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF OTHERS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DACOITY (SECTION  395 TO 398 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ROBBERY (SECTION 392 TO 394, 397, 398 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER THEFT (SECTION 379 TO 382 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER AUTO THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C17 -STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRIMINAL BREACH OF TRUST (SECTION 406 TO 409) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CHEATING (SECTION 419 TO 420 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C21 -STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ARSON (SECTION 435, 436, 438 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C22 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C23 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DOWRY DEATHS (SECTION 304B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MOLESTATION (SECTION 354 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER SEXUAL HARASSMENT (EVE-TEASING) (SECTION 509 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRUELTY BY HUSBAND AND RELATIVES (SECTION 498A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER IMPORTATION OF GIRLS (SECTION 366B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C28 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30 -STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER TOTAL COGNIZABLE IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
