SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
26,ODISHA,2051,2824,105,1363,0,1363,1297,1070,227,2008,555,2571,3620,7098,1968,5130,9961,559,1532,55,642,11357,988,4116,354,4840,5,4084,27790,89775
27,PUDUCHERRY,163,57,24,5,0,5,31,22,9,14,53,11,61,141,54,87,967,5,91,0,5,1610,4,71,28,9,0,245,1984,5579
28,PUNJAB,1547,2613,181,766,0,766,1007,646,361,163,704,468,2350,4749,1652,3097,0,354,4733,127,157,9382,288,454,42,2159,0,2623,14183,49050
29,RAJASTHAN,2061,3780,131,1343,0,1343,1953,1281,672,172,440,1387,3135,7749,3479,4270,4746,317,5102,60,584,34767,616,2598,22,9113,0,6649,90812,177537
30,SIKKIM,17,8,1,21,0,21,13,13,0,5,0,12,146,128,17,111,16,18,125,6,9,80,2,23,0,4,0,98,214,946
31,TAMIL NADU,4185,6108,39,777,0,777,2126,1532,594,364,39,2174,4123,12536,3217,9319,15593,128,2924,173,732,35809,313,1946,739,2981,0,11982,105840,211631
32,TRIPURA,176,77,9,320,0,320,133,106,27,35,6,115,223,435,27,408,352,53,127,9,52,1479,62,456,9,1172,0,235,1300,6835
33,UTTAR PRADESH,11784,10207,3592,2580,5,2575,13727,11903,1824,1963,290,5147,4271,15194,4289,10905,29922,6572,20166,280,360,23829,9250,4189,15,29853,0,13053,85806,292050
34,UTTARAKHAND,324,395,184,171,0,171,346,293,53,54,7,235,291,1452,451,1001,2104,109,505,33,4,1492,168,184,282,625,0,702,3125,12792
35,WEST BENGAL,3746,1869,809,2395,0,2395,2698,2254,444,922,2574,1034,360,15051,2156,12895,18018,1086,2882,324,378,15293,1124,1841,165,18387,11,2699,52929,146595

,TOTAL (STATES),61272,64908,7050,26380,10,26370,44866,33821,11045,17081,10169,33740,66947,185849,50999,134850,316973,20216,76438,2186,10616,494823,23057,49077,10269,179476,81,87192,1114902,2903568
,TOTAL (UTS),1194,801,129,694,0,694,632,429,203,240,242,1388,1345,8217,3589,4628,1942,222,1324,46,51,4955,223,947,135,937,0,878,17012,43554
,TOTAL (ALL-INDIA),62466,65709,7179,27074,10,27064,45498,34250,11248,17321,10411,35128,68292,194066,54588,139478,318915,20438,77762,2232,10667,499778,23280,50024,10404,180413,81,88070,1131914,2947122

C1  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MURDER (SECTION 302 IPC) DURING 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ATTEMPT TO COMMIT MURDER (SECTION 307 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C3  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CULPABLE HOMICIDE NOT AMOUNTING MURDER (SECTION 304, 308 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RAPE (SECTION 376 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CUSTODIAL RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER RAPE DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C7  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9  -  STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER KIDNAPPING AND ABDUCTION OF OTHERS DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DACOITY (SECTION  395 TO 398 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C12 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ROBBERY (SECTION 392 TO 394, 397, 398 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C14 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER THEFT (SECTION 379 TO 382 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C15 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER AUTO THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C16 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER THEFT DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C17 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C18 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRIMINAL BREACH OF TRUST (SECTION 406 TO 409) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CHEATING (SECTION 419 TO 420 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C20 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C21 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER ARSON (SECTION 435, 436, 438 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C22 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC) DURING 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C23 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER DOWRY DEATHS (SECTION 304B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER MOLESTATION (SECTION 354 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C25 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER SEXUAL HARASSMENT (EVE-TEASING) (SECTION 509 IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CRUELTY BY HUSBAND AND RELATIVES (SECTION 498A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER IMPORTATION OF GIRLS (SECTION 366B IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C28 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER CAUSING DEATH BY NEGLIGENCE (SECTION 304-A IPC) DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER OTHER IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C30 - STATEMENT OF PERSONS ARRESTED BY SEX AND AGE-GROUP UNDER TOTAL COGNIZABLE IPC CRIMES DURING 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
